dataset,n,chunk_size,merge_seed,method,statistic,estimate,oracle_decimal,absolute_error,relative_error,ulp_error,binary64
centered_wide,12000,31,,naive,mean,8.3333333333193889e-05,0.000083333333333334369541489650146104395389556884765625,1.404809428506847979178928653709590435028076171875E-16,1.6857713142081966132948887751007783744558109165570037811995691274332138274447387E-12,10365.664000000001,3f15d867c3ecba74
centered_wide,12000,31,,naive,population_variance,850.02274999305553,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,4.656298401172086526225928227502094249798616168021148011696434125E-14,5.4778515059863127945427348029427849186194613993090797330584238441282130658214290E-17,0.40957233875868054,408a902e978c6143
centered_wide,12000,31,,welford,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,,welford,mean,8.3333333333360802e-05,0.000083333333333334369541489650146104395389556884765625,2.643198160345860969755449332296848297119140625E-17,3.1718377924149937234962470267943777569122908477007556164367693702222882425701450E-13,1950.336,3f15d867c3ecea90
centered_wide,12000,31,,welford,population_variance,850.02274999305712,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,1.54505274409090355108905907709997905750201383831978851988303565875E-12,1.8176604615623830782907718504014141427379251680091532643322169997084155186290312E-15,13.59042766124132,408a902e978c6151
centered_wide,12000,31,,chan_left,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,,chan_left,mean,8.3333333333313679e-05,0.000083333333333334369541489650146104395389556884765625,2.0690155318192626765494424034841358661651611328125E-17,2.4828186381830843392562483956169664734070158140516436000831775006055569181695400E-13,1526.664,3f15d867c3ecdcfb
centered_wide,12000,31,,chan_left,population_variance,850.02274999305484,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,7.2868401034141704369853857915002094249798616168021148011696434125E-13,8.5725236218368293061808414735693156001081737770833825232892762621972398035274807E-16,6.4095723387586805,408a902e978c613d
centered_wide,12000,31,,chan_balanced,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,,chan_balanced,mean,8.3333333333312338e-05,0.000083333333333334369541489650146104395389556884765625,2.2031855506643438502578646875917911529541015625E-17,2.6438226607971797457021779460393774825532946059738430600876281017594127337902558E-13,1625.664,3f15d867c3ecdc98
centered_wide,12000,31,,chan_balanced,population_variance,850.02274999305564,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,6.712385370989516447712060053747905750201383831978851988303565875E-14,7.8967126127440172500015451858489435951242513292783778502472992855124844290874673E-17,0.5904276612413194,408a902e978c6144
centered_wide,12000,31,0,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,0,chan_random,mean,8.333333333330586e-05,0.000083333333333334369541489650146104395389556884765625,2.850996348724432749577317736111581325531005859375E-17,3.4211956184692767586431307248465740721686608942446646952606320144012620253731057E-13,2103.6640000000002,3f15d867c3ecdaba
centered_wide,12000,31,0,chan_random,population_variance,850.02274999305564,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,6.712385370989516447712060053747905750201383831978851988303565875E-14,7.8967126127440172500015451858489435951242513292783778502472992855124844290874673E-17,0.5904276612413194,408a902e978c6144
centered_wide,12000,31,1,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,1,chan_random,mean,8.3333333333340906e-05,0.000083333333333334369541489650146104395389556884765625,6.5368717383496033335177344270050525665283203125E-18,7.8442460860194264609599874376307107583413664020793938121925944604188079478013710E-14,482.33600000000001,3f15d867c3ece4d4
centered_wide,12000,31,1,chan_random,population_variance,850.02274999305564,850.02274999305557339225046674534608196143071252094249798616168021148011696434125,6.712385370989516447712060053747905750201383831978851988303565875E-14,7.8967126127440172500015451858489435951242513292783778502472992855124844290874673E-17,0.5904276612413194,408a902e978c6144
centered_wide,12000,31,2,chan_random,sum,1.0000000000000124,1.0000000000000124344978758017532527446746826171875,0E-49,0,0,3ff0000000000038
centered_wide,12000,31,2,chan_random,mean,8.3333333333241472e-05,0.000083333333333334369541489650146104395389556884765625,9.2898020005727222070390780572779476642608642578125E-17,1.1147762400687128031619002381986722602006747161137287265777246217249433540666244E-12,6854.6639999999998,3f15d867c3ecc82b
