dataset,n,method,construction,capacity,seed,partition_size,merge_seed,q,value,oracle_value,value_error,target_index,tie_lower_index,tie_upper_index,rank_error,retained,retained_fraction
normal,20000,kll,balanced_merge,64,47,257,20260859,0.10000000000000001,-1.2981552971381543,-1.2913587514538585,0.0067965456842957739,1999,1977,1977,0.0011000550027501375,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,47,257,20260859,0.25,-0.7163009108838716,-0.68207070925987068,0.034230201624000922,4999,4763,4763,0.011800590029501476,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,47,257,20260859,0.5,-0.010231300413283753,-0.0057934692610270306,0.0044378311522567226,9999,9965,9965,0.0017000850042502124,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,47,257,20260859,0.75,0.6518062054759971,0.66396027043969696,0.012154064963699862,14999,14922,14922,0.0038501925096254812,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,47,257,20260859,0.90000000000000002,1.2396494001679672,1.2605493334517524,0.020899933283785144,17999,17918,17918,0.0040502025101255062,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,47,257,20260859,0.98999999999999999,2.1311069247686927,2.3085331684105435,0.17742624364185078,19799,19669,19669,0.0065003250162508127,105,0.0052500000000000003
normal,20000,kll,sequential,64,83,,,0.01,-2.1743901993903565,-2.3706471596639775,0.19625696027362105,199,317,317,0.0059002950147507378,125,0.0062500000000000003
normal,20000,kll,sequential,64,83,,,0.10000000000000001,-1.2357656686980281,-1.2913587514538585,0.055593082755830414,1999,2193,2193,0.0097004850242512122,125,0.0062500000000000003
normal,20000,kll,sequential,64,83,,,0.25,-0.62491526747075632,-0.68207070925987068,0.057155441789114358,4999,5370,5370,0.01855092754637732,125,0.0062500000000000003
normal,20000,kll,sequential,64,83,,,0.5,-0.009032895340817363,-0.0057934692610270306,0.0032394260797903324,9999,9975,9975,0.00120006000300015,125,0.0062500000000000003
normal,20000,kll,sequential,64,83,,,0.75,0.74321202075485759,0.66396027043969696,0.07925175031516063,14999,15528,15528,0.026451322566128307,125,0.0062500000000000003
normal,20000,kll,sequential,64,83,,,0.90000000000000002,1.4048101263581567,1.2605493334517524,0.14426079290640437,17999,18417,18417,0.020901045052252612,125,0.0062500000000000003
normal,20000,kll,sequential,64,83,,,0.98999999999999999,2.3838520108135088,2.3085331684105435,0.07531884240296538,19799,19827,19827,0.001400070003500175,125,0.0062500000000000003
normal,20000,kll,balanced_merge,64,83,257,20260895,0.01,-2.7166634475891445,-2.3706471596639775,0.34601628792516692,199,64,64,0.0067503375168758437,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,83,257,20260895,0.10000000000000001,-1.3654725328674266,-1.2913587514538585,0.074113781413568169,1999,1781,1781,0.010900545027251362,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,83,257,20260895,0.25,-0.71963101264438756,-0.68207070925987068,0.03756030338451688,4999,4744,4744,0.012750637531876594,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,83,257,20260895,0.5,-0.034977520603522869,-0.0057934692610270306,0.02918405134249584,9999,9764,9764,0.01175058752937647,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,83,257,20260895,0.75,0.65757822924158293,0.66396027043969696,0.0063820411981140301,14999,14958,14958,0.0020501025051252561,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,83,257,20260895,0.90000000000000002,1.2453770102223238,1.2605493334517524,0.015172323229428519,17999,17943,17943,0.00280014000700035,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,83,257,20260895,0.98999999999999999,2.0528239388553051,2.3085331684105435,0.25570922955523834,19799,19601,19601,0.009900495024751238,105,0.0052500000000000003
normal,20000,kll,sequential,64,101,,,0.01,-2.5283764945459342,-2.3706471596639775,0.15772933488195662,199,122,122,0.0038501925096254812,125,0.0062500000000000003
normal,20000,kll,sequential,64,101,,,0.10000000000000001,-1.287148458355327,-1.2913587514538585,0.0042102930985314924,1999,2012,2012,0.00065003250162508125,125,0.0062500000000000003
normal,20000,kll,sequential,64,101,,,0.25,-0.71123459869374739,-0.68207070925987068,0.029163889433876711,4999,4805,4805,0.0097004850242512122,125,0.0062500000000000003
normal,20000,kll,sequential,64,101,,,0.5,-0.038514013530510219,-0.0057934692610270306,0.03272054426948319,9999,9734,9734,0.013250662533126656,125,0.0062500000000000003
normal,20000,kll,sequential,64,101,,,0.75,0.65493984056471377,0.66396027043969696,0.0090204298749831935,14999,14939,14939,0.0030001500075003749,125,0.0062500000000000003
normal,20000,kll,sequential,64,101,,,0.90000000000000002,1.2690341099763169,1.2605493334517524,0.0084847765245645856,17999,18032,18032,0.0016500825041252062,125,0.0062500000000000003
normal,20000,kll,sequential,64,101,,,0.98999999999999999,2.0742502083156986,2.3085331684105435,0.23428296009484484,19799,19620,19620,0.0089504475223761183,125,0.0062500000000000003
normal,20000,kll,balanced_merge,64,101,257,20260913,0.01,-2.8369604463711804,-2.3706471596639775,0.46631328670720285,199,51,51,0.0074003700185009246,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,101,257,20260913,0.10000000000000001,-1.3307288549828704,-1.2913587514538585,0.039370103529011935,1999,1868,1868,0.0065503275163758187,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,101,257,20260913,0.25,-0.70499586357623112,-0.68207070925987068,0.022925154316360441,4999,4852,4852,0.0073503675183759186,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,101,257,20260913,0.5,-0.0032901345014754572,-0.0057934692610270306,0.0025033347595515734,9999,10023,10023,0.00120006000300015,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,101,257,20260913,0.75,0.65412433330952935,0.66396027043969696,0.0098359371301676157,14999,14934,14934,0.0032501625081254064,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,101,257,20260913,0.90000000000000002,1.2496343153689635,1.2605493334517524,0.01091501808278883,17999,17960,17960,0.0019500975048752439,105,0.0052500000000000003
normal,20000,kll,balanced_merge,64,101,257,20260913,0.98999999999999999,2.1789793929464385,2.3085331684105435,0.12955377546410496,19799,19708,19708,0.0045502275113755691,105,0.0052500000000000003
normal,20000,kll,sequential,128,11,,,0.01,-2.2371405795319057,-2.3706471596639775,0.13350658013207184,199,278,278,0.0039501975098754942,163,0.0081499999999999993
normal,20000,kll,sequential,128,11,,,0.10000000000000001,-1.2620931600042005,-1.2913587514538585,0.029265591449658013,1999,2095,2095,0.0048002400120006001,163,0.0081499999999999993
normal,20000,kll,sequential,128,11,,,0.25,-0.65941996366388111,-0.68207070925987068,0.022650745595989563,4999,5140,5140,0.0070503525176258816,163,0.0081499999999999993
normal,20000,kll,sequential,128,11,,,0.5,0.0043360591250777283,-0.0057934692610270306,0.010129528386104758,9999,10071,10071,0.0036001800090004498,163,0.0081499999999999993
normal,20000,kll,sequential,128,11,,,0.75,0.67594371856736324,0.66396027043969696,0.011983448127666274,14999,15074,15074,0.0037501875093754688,163,0.0081499999999999993
normal,20000,kll,sequential,128,11,,,0.90000000000000002,1.29505383425556,1.2605493334517524,0.034504500803807625,17999,18097,18097,0.0049002450122506121,163,0.0081499999999999993
normal,20000,kll,sequential,128,11,,,0.98999999999999999,2.1185667961957382,2.3085331684105435,0.18996637221480528,19799,19659,19659,0.0070003500175008747,163,0.0081499999999999993
normal,20000,kll,balanced_merge,128,11,257,20260823,0.01,-2.3391109463974891,-2.3706471596639775,0.031536213266488478,199,214,214,0.00075003750187509373,100,0.0050000000000000001
normal,20000,kll,balanced_merge,128,11,257,20260823,0.10000000000000001,-1.2339574147526091,-1.2913587514538585,0.057401336701249361,1999,2204,2204,0.010250512525626282,100,0.0050000000000000001
normal,20000,kll,balanced_merge,128,11,257,20260823,0.25,-0.68273298881777711,-0.68207070925987068,0.00066227955790643112,4999,4993,4993,0.0003000150007500375,100,0.0050000000000000001
normal,20000,kll,balanced_merge,128,11,257,20260823,0.5,0.02141631089974028,-0.0057934692610270306,0.027209780160767312,9999,10195,10195,0.0098004900245012242,100,0.0050000000000000001
normal,20000,kll,balanced_merge,128,11,257,20260823,0.75,0.69988285337847989,0.66396027043969696,0.035922582938782921,14999,15235,15235,0.011800590029501476,100,0.0050000000000000001
normal,20000,kll,balanced_merge,128,11,257,20260823,0.90000000000000002,1.2480253087424802,1.2605493334517524,0.012524024709272163,17999,17955,17955,0.0022001100055002751,100,0.0050000000000000001
normal,20000,kll,balanced_merge,128,11,257,20260823,0.98999999999999999,2.4232737447191801,2.3085331684105435,0.11474057630863665,19799,19843,19843,0.0022001100055002751,100,0.0050000000000000001
normal,20000,kll,sequential,128,29,,,0.01,-2.2558392948869694,-2.3706471596639775,0.11480786477700811,199,267,267,0.0034001700085004249,163,0.0081499999999999993
normal,20000,kll,sequential,128,29,,,0.10000000000000001,-1.2658688402382647,-1.2913587514538585,0.025489911215593741,1999,2081,2081,0.0041002050102505122,163,0.0081499999999999993
normal,20000,kll,sequential,128,29,,,0.25,-0.69421967989242217,-0.68207070925987068,0.012148970632551492,4999,4919,4919,0.0040002000100005002,163,0.0081499999999999993
